0 1 0 2 3 4 3 5 3   ||   3 3 3 3 74 5 74 1 74
0 1 0 2 3 4   ||   3 3 3 4 3 2
0 1 2 1 0   ||   3 4 1 4 3
0 1 2 3 2 4   ||   3 3 4 1 4 74
0 1 2 3 4 5 4 6   ||   3 3 74 3 44 2 44 2
0 1 2 3 4 5 4 3   ||   3 4 74 9 3 3 3 9
0 1 2 3 4 5   ||   3 3 2 65 5 44
0 1 2 3 4 5 4 6   ||   3 3 2 65 3 2 3 29
0 1 2 1 0 3 0   ||   3 3 2 3 3 4 3
0 1 0 2 3 4 3   ||   3 3 3 4 3 2 3
0 1 0 2 3 4 5   ||   3 1 3 5 6 6 1
0 1 0 2 3 2 4   ||   3 1 3 5 1 5 6
0 1 0 2 3 4 3 2 5 6   ||   3 2 3 5 5 2 5 5 65 16
0 1 2 1 3 4 5 6 7 8   ||   3 5 6 5 65 4 2 7 6 3
0 1 0 2 0 3   ||   3 2 3 1 3 5
0 1 0 2 3 4 3   ||   3 1 3 2 5 7 5
0 1 0 2   ||   3 2 3 5
0 1 2 3 4 3 5 6 7 1   ||   3 5 5 5 2 5 16 3 6 5
0 1 0 2 0 3 4 5 4 6   ||   3 1 3 2 3 5 65 2 65 4
0 1 0 2 3 4 5 6 7   ||   3 2 3 5 65 3 3 5 44
0 1 0 2 3 4 5   ||   5 5 5 6 3 16 6
0 1 2 3 2 1 4 5 6   ||   5 5 2 1 2 5 10 6 6
0 1 2 1 3 4   ||   5 65 2 65 8 4
0 1 0 2 3 4 3 5 2   ||   5 1 5 6 3 16 3 4 6
0 1 2 3 2 4 5 6 7 8   ||   5 5 10 4 10 5 5 3 19 4
0 1 2 1 3 1 4 5 4   ||   5 65 4 65 1 65 3 3 3
0 1 2 3 4 5 4 6 7 8 9   ||   5 5 5 5 9 6 9 3 5 4 8
0 1 2 3 4 5 6 7   ||   5 65 3 3 5 4 40 8
0 1 2 1 3   ||   5 3 2 3 1
0 1 2 1 3 2 4 5 6   ||   5 6 4 6 9 4 3 16 2
0 1   ||   1 1
0 1   ||   1 1
0 1   ||   1 1
0 1 0   ||   1 1 1
0 1 0   ||   1 1 1
0 1 0   ||   1 1 1
0 1   ||   1 1
0 1   ||   1 1
0 1   ||   1 1
0 1   ||   1 1
0 1 2 3 2 1 4 1   ||   5 8 8 3 8 8 7 8
0 1 2 3 4 5 6 0 7 8   ||   5 8 3 5 8 3 5 5 7 3
0 1 2 1 0 3 4 5 4 2   ||   5 7 8 7 5 8 5 5 5 8
0 1 2 0 3 0 2 1 4 3 5   ||   5 5 8 5 8 5 8 5 7 8 5
0 1 2 3 2 4 5 6 7 6   ||   5 8 5 8 5 7 168 3 8 3
0 1 2 3 0 4 5 4 2   ||   5 5 8 7 5 5 1 5 8
0 1 2 1 3 2 4   ||   5 5 8 5 5 8 5
0 1 2 3 2 4 5 4 0   ||   5 8 5 1 5 8 3 8 5
0 1 0 2 0 3 4 5 6   ||   5 8 5 5 5 8 7 8 5
